City,Population density,2016 Population,Land Area,http://www.governing.com/gov-data/population-density-land-area-cities-map.html
"Rochester Hills, Michigan","2,237","73,422",33,
"Rochester, Minnesota","2,088","114,011",55,
"Rochester, New York","5,838","208,880",36,
"Rock Hill, South Carolina","2,042","72,937",36,
"Rockford, Illinois","2,417","147,651",61,
"Rocklin, California","3,213","62,787",20,
"Rockville, Maryland","4,955","66,940",14,
"Rocky Mount, North Carolina","1,267","55,466",44,
"Rogers, Arkansas","1,714","65,021",38,
"Rosemead, California","10,562","54,500",5,
"Roseville, California","3,663","132,671",36,
"Roswell, Georgia","2,323","94,598",41,
"Round Rock, Texas","3,544","120,892",34,
"Rowlett, Texas","3,117","61,999",20,
"Royal Oak, Michigan","5,009","59,006",12,
"Sacramento, California","5,058","495,234",98,
"Salem, Oregon","3,495","167,419",48,
"Salinas, California","6,782","157,218",23,
"Salt Lake City, Utah","1,744","193,744",111,
"Sammamish, Washington","3,500","63,773",18,
"San Angelo, Texas","1,771","100,702",57,
"San Antonio, Texas","3,238","1,492,510",461,
"San Bernardino, California","3,653","216,239",59,
"San Buenaventura, California","5,062","109,592",22,
"San Clemente, California","3,491","65,309",19,
"San Diego, California","4,326","1,406,630",325,
"San Francisco, California","18,581","870,887",47,
"San Jose, California","5,808","1,025,350",177,
"San Leandro, California","6,781","90,465",13,
"San Marcos, California","3,909","95,261",24,
"San Marcos, Texas","2,051","61,980",30,
"San Mateo, California","8,570","103,959",12,
"San Rafael, California","3,579","58,954",16,
"San Ramon, California","4,188","75,639",18,
"Sandy Springs, Georgia","2,808","105,703",38,
"Sandy, Utah","4,190","95,836",23,
"Sanford, Florida","2,552","58,605",23,
"Santa Ana, California","12,256","334,217",27,
"Santa Barbara, California","4,722","91,930",19,
"Santa Clara, California","6,841","125,948",18,
"Santa Clarita, California","3,452","181,972",53,
"Santa Cruz, California","5,060","64,465",13,
"Santa Fe, New Mexico","1,824","83,875",46,
"Santa Maria, California","4,670","106,290",23,
"Santa Monica, California","10,996","92,478",8,
"Santa Rosa, California","4,242","175,155",41,
"Santee, California","3,561","57,834",16,
"Sarasota, Florida","3,862","56,610",15,
"Savannah, Georgia","1,423","146,763",103,
"Schaumburg, Illinois","3,873","74,446",19,
"Schenectady, New York","6,022","64,913",11,
